title,budget,budget_squared,revenue,runtime,vote_average,year,main_genre
We Are Marshall,65000000,4225000000000000,43545364,124.0,6.7,2006,Drama
Hudson Hawk,65000000,4225000000000000,17218080,100.0,5.4,1991,Action
"I, Frankenstein",65000000,4225000000000000,71154592,92.0,5.0,2014,Horror
Oliver Twist,50000000,2500000000000000,42093706,130.0,6.7,2005,Crime
Elektra,43000000,1849000000000000,56681566,97.0,4.8,2005,Action
Sin City: A Dame to Kill For,65000000,4225000000000000,39407616,102.0,6.3,2014,Crime
Random Hearts,64000000,4096000000000000,74608570,133.0,5.3,1999,Drama
Everest,55000000,3025000000000000,203427584,121.0,6.7,2015,Adventure
Perfume: The Story of a Murderer,50000000,2500000000000000,132180323,147.0,7.1,2006,Crime
Austin Powers in Goldmember,63000000,3969000000000000,296655431,94.0,5.9,2002,Comedy
Astro Boy,65000000,4225000000000000,44091067,94.0,6.1,2009,Animation
Jurassic Park,63000000,3969000000000000,920100000,127.0,7.6,1993,Adventure
Wyatt Earp,63000000,3969000000000000,25052000,191.0,6.5,1994,Drama
Clear and Present Danger,62000000,3844000000000000,215887717,141.0,6.4,1994,Action
Dragon Blade,65000000,4225000000000000,121545703,127.0,5.9,2015,Action
Little Man,64000000,4096000000000000,101595121,98.0,5.3,2006,Comedy
U-571,62000000,3844000000000000,127666415,116.0,6.1,2000,Action
The American President,62000000,3844000000000000,107879496,106.0,6.5,1995,Comedy
The Love Guru,62000000,3844000000000000,41819064,87.0,4.3,2008,Comedy
3000 Miles to Graceland,62000000,3844000000000000,18720175,125.0,5.8,2001,Action
The Hateful Eight,44000000,1936000000000000,155760117,167.0,7.6,2015,Crime
Hop,63000000,3969000000000000,183953723,95.0,5.5,2011,Animation
300,65000000,4225000000000000,422610419,117.0,7.0,2006,Action
Meet the Fockers,80000000,6400000000000000,516642939,115.0,6.1,2004,Comedy
Marley & Me,60000000,3600000000000000,244082376,115.0,6.9,2008,Comedy
The Green Mile,60000000,3600000000000000,284600000,189.0,8.2,1999,Fantasy
Chicken Little,150000000,22500000000000000,314432665,81.0,5.6,2005,Animation
Gone Girl,61000000,3721000000000000,369330363,145.0,7.9,2014,Mystery
The Bourne Identity,60000000,3600000000000000,214034224,119.0,7.3,2002,Action
GoldenEye,58000000,3364000000000000,352194034,130.0,6.6,1995,Adventure
The General's Daughter,60000000,3600000000000000,149705852,116.0,6.1,1999,Crime
The Truman Show,60000000,3600000000000000,264118201,103.0,7.8,1998,Comedy
The Prince of Egypt,70000000,4900000000000000,218613188,99.0,6.8,1998,Adventure
Daddy Day Care,60000000,3600000000000000,164433867,92.0,5.6,2003,Comedy
2 Guns,61000000,3721000000000000,131940411,109.0,6.6,2013,Action
Cats & Dogs,60000000,3600000000000000,93375151,87.0,5.0,2001,Comedy
The Italian Job,60000000,3600000000000000,176070171,110.0,6.6,2003,Action
Two Weeks Notice,60000000,3600000000000000,93354918,101.0,5.9,2002,Romance
Antz,60000000,3600000000000000,171757863,83.0,6.0,1998,Adventure
Couples Retreat,70000000,4900000000000000,171844840,113.0,5.3,2009,Comedy
Days of Thunder,60000000,3600000000000000,157920733,107.0,5.9,1990,Adventure
Cheaper by the Dozen 2,60000000,3600000000000000,129181830,94.0,5.7,2005,Comedy
Maze Runner: The Scorch Trials,61000000,3721000000000000,311256926,132.0,6.4,2015,Action
Eat Pray Love,60000000,3600000000000000,204594016,133.0,5.8,2010,Drama
RED,58000000,3364000000000000,71664962,111.0,6.6,2010,Action
Any Given Sunday,55000000,3025000000000000,100230832,163.0,6.8,1999,Drama
The Horse Whisperer,60000000,3600000000000000,186883563,170.0,6.7,1998,Drama
Collateral,65000000,4225000000000000,217764291,120.0,7.0,2004,Drama
The Scorpion King,60000000,3600000000000000,165333180,92.0,5.3,2002,Action
Ladder 49,60000000,3600000000000000,74541707,115.0,6.2,2004,Drama
Jack Reacher,60000000,3600000000000000,218340595,130.0,6.3,2012,Crime
Deep Blue Sea,60000000,3600000000000000,73648228,105.0,5.6,1999,Action
Contagion,60000000,3600000000000000,137551594,106.0,6.2,2011,Drama
Coraline,60000000,3600000000000000,124596398,100.0,7.3,2009,Animation
The Happening,60000000,3600000000000000,163403799,91.0,4.9,2008,Thriller
Man on Fire,70000000,4900000000000000,130293714,146.0,7.3,2004,Action
The Shaggy Dog,50000000,2500000000000000,61112916,98.0,4.5,2006,Comedy
Starsky & Hutch,60000000,3600000000000000,170268750,101.0,5.6,2004,Comedy
Jingle All the Way,60000000,3600000000000000,129832389,89.0,5.5,1996,Family
Hellboy,66000000,4356000000000000,99318987,122.0,6.5,2004,Fantasy
A Civil Action,70000000,4900000000000000,56702901,115.0,6.1,1998,Drama
ParaNorman,60000000,3600000000000000,107139399,90.0,6.7,2012,Family
The Jackal,60000000,3600000000000000,159330280,124.0,6.1,1997,Action
Paycheck,60000000,3600000000000000,96269812,119.0,5.9,2003,Action
The Tale of Despereaux,60000000,3600000000000000,50877145,93.0,5.8,2008,Adventure
Under Siege 2: Dark Territory,60000000,3600000000000000,104324083,100.0,5.6,1995,Action
Jack Ryan: Shadow Recruit,60000000,3600000000000000,50549107,105.0,5.9,2014,Action
Joy,60000000,3600000000000000,101134059,124.0,6.4,2015,Drama
London Has Fallen,60000000,3600000000000000,205754447,99.0,5.8,2016,Action
Alien: Resurrection,70000000,4900000000000000,162000000,109.0,5.9,1997,Science Fiction
Shooter,61000000,3721000000000000,95696996,124.0,6.9,2007,Action
The Boxtrolls,60000000,3600000000000000,108255770,97.0,6.6,2014,Animation
Practical Magic,75000000,5625000000000000,46683377,104.0,6.3,1998,Drama
The Lego Movie,60000000,3600000000000000,469160692,100.0,7.5,2014,Adventure
Reign of Fire,60000000,3600000000000000,43061982,101.0,6.0,2002,Adventure
Gangster Squad,60000000,3600000000000000,105200903,113.0,6.2,2013,Crime
Year One,60000000,3600000000000000,62357900,97.0,4.6,2009,Comedy
Invictus,60000000,3600000000000000,122233971,134.0,7.0,2009,Drama
State of Play,60000000,3600000000000000,87784194,127.0,6.7,2009,Action
Duplicity,78146652,6106899218809104,60000000,125.0,5.7,2009,Romance
My Favorite Martian,65000000,4225000000000000,36850101,94.0,5.1,1999,Comedy
The Sentinel,60000000,3600000000000000,77920346,108.0,5.8,2006,Action
Planet 51,70000000,4900000000000000,104945765,91.0,5.6,2009,Science Fiction
Star Trek: Nemesis,60000000,3600000000000000,67312826,117.0,6.1,2002,Science Fiction
Intolerable Cruelty,60000000,3600000000000000,119940815,100.0,5.8,2003,Crime
Edge of Darkness,80000000,6400000000000000,74901339,117.0,6.2,2010,Crime
The Relic,60000000,3600000000000000,33956608,110.0,5.8,1997,Horror
Analyze That,60000000,3600000000000000,55003135,96.0,5.7,2002,Comedy
Righteous Kill,60000000,3600000000000000,73174566,101.0,5.9,2008,Action
The Soloist,60000000,3600000000000000,31720158,109.0,6.6,2009,Drama
The Legend of Bagger Vance,80000000,6400000000000000,39459427,126.0,6.3,2000,Fantasy
Almost Famous,60000000,3600000000000000,47383689,122.0,7.4,2000,Drama
xXx: State of the Union,60000000,3600000000000000,71073932,101.0,4.7,2005,Action
Priest,60000000,3600000000000000,78309131,87.0,5.4,2011,Action
Sinbad: Legend of the Seven Seas,60000000,3600000000000000,26288320,86.0,6.6,2003,Family
Event Horizon,60000000,3600000000000000,26673242,96.0,6.5,1997,Horror
Dragonfly,60000000,3600000000000000,52322400,104.0,6.1,2002,Drama
The Black Dahlia,50000000,2500000000000000,49111202,121.0,5.7,2006,Drama
Flyboys,60000000,3600000000000000,17800000,140.0,6.3,2006,Action
The Last Castle,72000000,5184000000000000,27642707,131.0,7.0,2001,Action
Supernova,90000000,8100000000000000,14828081,91.0,4.9,2000,Horror
Winter's Tale,60000000,3600000000000000,30800231,118.0,6.0,2014,Drama
The Mortal Instruments: City of Bones,60000000,3600000000000000,90565421,130.0,6.2,2013,Action
Meet Dave,60000000,3600000000000000,50650079,90.0,5.0,2008,Comedy
Dark Water,30000000,900000000000000,25473093,105.0,5.3,2005,Drama
Inkheart,60000000,3600000000000000,57490374,106.0,6.0,2008,Adventure
The Spirit,60000000,3600000000000000,39031337,103.0,4.7,2008,Action
Mortdecai,60000000,3600000000000000,30418560,106.0,5.4,2015,Comedy
The Monkey King 2,68490000,4690880100000000,193677158,120.0,6.0,2016,Action
The Great Raid,80000000,6400000000000000,10166502,132.0,6.8,2005,Action
Deadpool,58000000,3364000000000000,783112979,108.0,7.4,2016,Action
American Sniper,58800000,3457440000000000,542307423,133.0,7.4,2014,War
Goosebumps,58000000,3364000000000000,158162788,103.0,6.2,2015,Adventure
Just Like Heaven,58000000,3364000000000000,102854431,95.0,6.5,2005,Comedy
The Flintstones in Viva Rock Vegas,83000000,6889000000000000,59468275,90.0,4.4,2000,Science Fiction
Rambo III,63000000,3969000000000000,189015611,102.0,5.7,1988,Action
Leatherheads,58000000,3364000000000000,41299492,114.0,5.7,2008,Comedy
Did You Hear About the Morgans?,58000000,3364000000000000,85280250,103.0,5.1,2009,Comedy
The Internship,58000000,3364000000000000,44000000,119.0,6.1,2013,Comedy
Resident Evil: Afterlife,60000000,3600000000000000,300228084,97.0,5.8,2010,Action
Red Tails,58000000,3364000000000000,50365377,125.0,5.9,2012,Drama
The Devil's Advocate,57000000,3249000000000000,152944660,144.0,7.2,1997,Drama
That's My Boy,70000000,4900000000000000,58058367,116.0,5.5,2012,Comedy
DragonHeart,57000000,3249000000000000,115267375,103.0,6.4,1996,Fantasy
After the Sunset,60000000,3600000000000000,61347797,97.0,6.0,2004,Action
Ghost Rider: Spirit of Vengeance,57000000,3249000000000000,149217355,95.0,4.7,2011,Action
Captain Corelli's Mandolin,57000000,3249000000000000,62112895,131.0,5.5,2001,Drama
The Pacifier,56000000,3136000000000000,113006880,95.0,5.8,2005,Action
Walking Tall,56000000,3136000000000000,57223890,86.0,6.0,2004,Adventure
Forrest Gump,55000000,3025000000000000,677945399,142.0,8.2,1994,Comedy
Alvin and the Chipmunks,60000000,3600000000000000,361366633,92.0,5.5,2007,Comedy
Meet the Parents,55000000,3025000000000000,330444045,108.0,6.6,2000,Comedy
Pocahontas,55000000,3025000000000000,346079773,81.0,6.7,1995,Adventure
Superman,55000000,3025000000000000,300218018,143.0,6.9,1978,Action
The Nutty Professor,54000000,2916000000000000,128769345,95.0,5.4,1996,Fantasy
Hitch,70000000,4900000000000000,368100420,118.0,6.4,2005,Comedy
American Wedding,55000000,3025000000000000,231449203,103.0,6.0,2003,Comedy
Captain Phillips,55000000,3025000000000000,95000000,134.0,7.6,2013,Action
Date Night,55000000,3025000000000000,152263880,97.0,5.9,2010,Comedy
Casper,50000000,2500000000000000,287928194,100.0,6.0,1995,Fantasy
The Equalizer,55000000,3025000000000000,192330738,132.0,7.1,2014,Thriller
Maid in Manhattan,55000000,3025000000000000,154906693,105.0,5.6,2002,Comedy
Crimson Tide,53000000,2809000000000000,157387195,116.0,7.0,1995,Action
The Pursuit of Happyness,55000000,3025000000000000,307077295,117.0,7.7,2006,Drama
Flightplan,55000000,3025000000000000,223387299,98.0,6.1,2005,Thriller
Disclosure,55000000,3025000000000000,214015089,123.0,5.9,1994,Drama
City of Angels,55000000,3025000000000000,198685114,114.0,6.4,1998,Drama
Kill Bill: Vol. 1,30000000,900000000000000,180949000,111.0,7.7,2003,Action
Kill Bill: Vol. 2,30000000,900000000000000,152159461,136.0,7.6,2004,Action
Tango & Cash,55000000,3025000000000000,63408614,104.0,6.1,1989,Action
Death Becomes Her,55000000,3025000000000000,149022650,104.0,6.3,1992,Fantasy
Shanghai Noon,55000000,3025000000000000,56932305,110.0,6.2,2000,Adventure
Executive Decision,55000000,3025000000000000,121969216,133.0,5.8,1996,Action
Mr. Popper's Penguins,55000000,3025000000000000,187361754,94.0,5.7,2011,Comedy
The Forbidden Kingdom,55000000,3025000000000000,127906624,104.0,6.3,2008,Action
Free Birds,55000000,3025000000000000,110000000,91.0,5.7,2013,Animation
Alien³,50000000,2500000000000000,159773545,114.0,6.2,1992,Science Fiction
Evita,55000000,3025000000000000,141047179,134.0,5.9,1996,History
Ronin,55000000,3025000000000000,41610884,122.0,6.7,1998,Action
The Ghost and the Darkness,50000000,2500000000000000,75000000,109.0,6.4,1996,Adventure
Paddington,55000000,3025000000000000,259207227,95.0,7.0,2014,Family
The Watch,68000000,4624000000000000,68267862,98.0,5.3,2012,Comedy
The Hunted,55000000,3025000000000000,34234008,94.0,6.0,2003,Drama
Stuck on You,55000000,3025000000000000,33828318,118.0,5.1,2003,Comedy
The Pirates! In an Adventure with Scientists!,60000000,3600000000000000,118338361,88.0,6.4,2012,Animation
Changeling,55000000,3025000000000000,113020255,141.0,7.3,2008,Crime
Chain Reaction,50000000,2500000000000000,60209334,107.0,5.3,1996,Action
The Fan,55000000,3025000000000000,18626419,116.0,5.7,1996,Drama
The Phantom of the Opera,70000000,4900000000000000,154648887,143.0,7.0,2004,Thriller
Elizabeth: The Golden Age,55000000,3025000000000000,74237563,114.0,6.6,2007,Drama
Æon Flux,62000000,3844000000000000,52304001,93.0,5.4,2005,Action
Gods and Generals,56000000,3136000000000000,12923936,214.0,6.1,2003,Drama
Turbulence,55000000,3025000000000000,11466088,100.0,5.2,1997,Action
Muppets Most Wanted,50000000,2500000000000000,80383290,112.0,6.2,2014,Comedy
Thunderbirds,57000000,3249000000000000,28283637,95.0,4.2,2004,Action
Burlesque,55000000,3025000000000000,89519773,119.0,6.9,2010,Drama
Lolita,2000000,4000000000000,9250000,153.0,7.3,1962,Drama
D-Tox,55000000,3025000000000000,6416302,96.0,5.3,2002,Action
Blade II,54000000,2916000000000000,155010032,117.0,6.2,2002,Fantasy
Seven Pounds,55000000,3025000000000000,168167691,123.0,7.5,2008,Drama
Bullet to the Head,55000000,3025000000000000,9489829,92.0,5.2,2013,Action
The Godfather: Part III,54000000,2916000000000000,136766062,162.0,7.1,1990,Crime
Elizabethtown,57000000,3249000000000000,52034889,123.0,6.1,2005,Comedy
"You, Me and Dupree",54000000,2916000000000000,130431368,108.0,5.4,2006,Comedy
Superman II,54000000,2916000000000000,190458706,127.0,6.5,1980,Action
Gigli,54000000,2916000000000000,7266209,121.0,3.5,2003,Drama
All the King's Men,55000000,3025000000000000,9450897,125.0,5.7,2006,Drama
Shaft,46000000,2116000000000000,107196498,99.0,5.5,2000,Action
Anastasia,53000000,2809000000000000,139804348,94.0,7.4,1997,Animation
Moulin Rouge!,52500000,2756250000000000,179213434,127.0,7.4,2001,Drama
Domestic Disturbance,75000000,5625000000000000,54249294,89.0,5.4,2001,Mystery
Black Mass,53000000,2809000000000000,98837872,122.0,6.3,2015,Crime
Flags of Our Fathers,90000000,8100000000000000,65900249,132.0,6.7,2006,War
Law Abiding Citizen,53000000,2809000000000000,126690726,109.0,7.2,2009,Drama
Grindhouse,67000000,4489000000000000,25037897,191.0,6.8,2007,Thriller
Catch Me If You Can,52000000,2704000000000000,352114312,141.0,7.7,2002,Drama
Zero Dark Thirty,40000000,1600000000000000,132820716,157.0,6.7,2012,Thriller
The Break-Up,52000000,2704000000000000,204999686,106.0,5.6,2006,Romance
Mamma Mia!,52000000,2704000000000000,609841637,108.0,6.4,2008,Comedy
Valentine's Day,52000000,2704000000000000,216485654,125.0,5.7,2010,Comedy
The Dukes of Hazzard,50000000,2500000000000000,110803676,104.0,5.1,2005,Action
The Thin Red Line,52000000,2704000000000000,98126565,170.0,7.2,1998,Drama
The Change-Up,52000000,2704000000000000,75450437,112.0,5.9,2011,Comedy
Man on the Moon,82000000,6724000000000000,47434430,118.0,6.9,1999,Comedy
Casino,52000000,2704000000000000,116112375,178.0,7.8,1995,Drama
From Paris with Love,52000000,2704000000000000,52826594,92.0,6.1,2010,Action
"Me, Myself & Irene",51000000,2601000000000000,149270999,116.0,6.1,2000,Comedy
Barnyard,51000000,2601000000000000,72779000,90.0,5.3,2006,Animation
The Twilight Saga: New Moon,50000000,2500000000000000,709827462,130.0,5.6,2009,Adventure
Shrek,60000000,3600000000000000,484409218,90.0,7.3,2001,Adventure
The Adjustment Bureau,50200000,2520040000000000,127869379,106.0,6.5,2011,Science Fiction
Robin Hood: Prince of Thieves,48000000,2304000000000000,390493908,143.0,6.6,1991,Adventure
Jerry Maguire,50000000,2500000000000000,273552592,139.0,6.7,1996,Comedy
Ted,50000000,2500000000000000,549368315,106.0,6.3,2012,Comedy
As Good as It Gets,50000000,2500000000000000,314178011,139.0,7.2,1997,Comedy
Patch Adams,50000000,2500000000000000,202292902,115.0,7.0,1998,Comedy
Anchorman 2: The Legend Continues,50000000,2500000000000000,173649015,119.0,6.0,2013,Comedy
Mr. Deeds,50000000,2500000000000000,171269535,96.0,5.6,2002,Comedy
Super 8,50000000,2500000000000000,260095987,112.0,6.6,2011,Thriller
Erin Brockovich,52000000,2704000000000000,256271286,131.0,7.1,2000,Drama
How to Lose a Guy in 10 Days,50000000,2500000000000000,177371441,116.0,6.3,2003,Comedy
22 Jump Street,50000000,2500000000000000,188441614,112.0,7.0,2014,Crime
Interview with the Vampire,60000000,3600000000000000,223664608,123.0,7.2,1994,Horror
Yes Man,70000000,4900000000000000,225990978,104.0,6.4,2008,Comedy
Central Intelligence,50000000,2500000000000000,216972543,107.0,6.2,2016,Action
Daddy's Home,50000000,2500000000000000,242786137,96.0,5.8,2015,Comedy
Into the Woods,50000000,2500000000000000,212902372,125.0,5.6,2014,Fantasy
Inside Man,45000000,2025000000000000,184376254,129.0,7.3,2006,Crime
Payback,90000000,8100000000000000,161626121,100.0,6.7,1999,Drama
Congo,50000000,2500000000000000,152022101,109.0,5.0,1995,Action
We Bought a Zoo,50000000,2500000000000000,120081841,124.0,6.5,2011,Drama
Knowing,50000000,2500000000000000,155446362,121.0,5.9,2009,Action
Failure to Launch,50000000,2500000000000000,88715192,97.0,5.5,2006,Comedy
The Ring Two,50000000,2500000000000000,161451538,110.0,5.4,2005,Drama
"Crazy, Stupid, Love.",50000000,2500000000000000,142851197,118.0,7.0,2011,Comedy
Garfield,50000000,2500000000000000,200804534,80.0,5.2,2004,Animation
Moneyball,50000000,2500000000000000,110206216,133.0,7.0,2011,Drama
Outbreak,50000000,2500000000000000,189859560,127.0,6.3,1995,Action
Non-Stop,50000000,2500000000000000,222809600,106.0,6.8,2014,Action
Race to Witch Mountain,50000000,2500000000000000,106303988,98.0,5.5,2009,Adventure
V for Vendetta,54000000,2916000000000000,132511035,132.0,7.7,2006,Action
Shanghai Knights,50000000,2500000000000000,88323487,115.0,6.0,2003,Action
Curious George,50000000,2500000000000000,69834815,86.0,6.2,2006,Adventure
Herbie Fully Loaded,50000000,2500000000000000,66002004,101.0,5.1,2005,Comedy
Don't Say a Word,50000000,2500000000000000,100020092,113.0,6.0,2001,Thriller
Hansel & Gretel: Witch Hunters,50000000,2500000000000000,224803475,88.0,5.7,2013,Fantasy
Unfaithful,50000000,2500000000000000,119137784,124.0,6.3,2002,Thriller
I Am Number Four,50000000,2500000000000000,144492830,109.0,5.9,2011,Action
Syriana,50000000,2500000000000000,94000000,128.0,6.3,2005,Drama
13 Hours: The Secret Soldiers of Benghazi,50000000,2500000000000000,69411370,144.0,7.0,2016,Action
The Book of Life,50000000,2500000000000000,97437106,95.0,7.3,2014,Romance
Firewall,45000000,2025000000000000,82800000,105.0,5.6,2006,Thriller
Absolute Power,50000000,2500000000000000,50068310,121.0,6.4,1997,Crime
G.I. Jane,50000000,2500000000000000,48169156,125.0,6.0,1997,Action
The Game,50000000,2500000000000000,109423648,129.0,7.5,1997,Drama
Silent Hill,50000000,2500000000000000,97607453,125.0,6.3,2006,Horror
American Reunion,50000000,2500000000000000,234989584,113.0,6.1,2012,Comedy
The Negotiator,50000000,2500000000000000,44547681,140.0,6.8,1998,Action
Into the Storm,50000000,2500000000000000,160602194,89.0,5.8,2014,Action
Beverly Hills Cop III,50000000,2500000000000000,119208989,104.0,5.5,1994,Action
Gremlins 2: The New Batch,50000000,2500000000000000,41482207,106.0,6.2,1990,Comedy
The Judge,50000000,2500000000000000,83719388,141.0,7.2,2014,Drama
Resident Evil: Apocalypse,45000000,2025000000000000,129394835,94.0,6.1,2004,Horror
Bridget Jones: The Edge of Reason,50000000,2500000000000000,40203020,108.0,6.1,2004,Comedy
Out of Time,50000000,2500000000000000,55495563,105.0,6.1,2003,Thriller
On Deadly Ground,50000000,2500000000000000,49000000,102.0,4.5,1994,Action
The Adventures of Sharkboy and Lavagirl,50000000,2500000000000000,69425966,92.0,4.4,2005,Adventure
The Beach,40000000,1600000000000000,144056873,119.0,6.3,2000,Drama
Raising Helen,50000000,2500000000000000,49718611,119.0,5.9,2004,Drama
Ninja Assassin,40000000,1600000000000000,60462347,99.0,6.2,2009,Action
Striptease,50000000,2500000000000000,113309743,115.0,4.4,1996,Drama
Marmaduke,50000000,2500000000000000,83761844,87.0,5.0,2010,Family
Hereafter,50000000,2500000000000000,105197635,129.0,5.8,2010,Drama
Murder by Numbers,50000000,2500000000000000,56714147,120.0,6.0,2002,Crime
Assassins,50000000,2500000000000000,30303072,132.0,6.0,1995,Action
Hannibal Rising,50000000,2500000000000000,82169884,121.0,6.0,2007,Crime
The Story of Us,50000000,2500000000000000,58900031,95.0,5.9,1999,Comedy
The Host,44000000,1936000000000000,63327201,125.0,6.0,2013,Action
Basic,50000000,2500000000000000,42792561,98.0,6.2,2003,Action
Blood Work,50000000,2500000000000000,26199517,110.0,6.1,2002,Crime
The International,50000000,2500000000000000,60161391,118.0,6.0,2009,Drama
Escape from L.A.,50000000,2500000000000000,42277365,97.0,5.6,1996,Action
The Iron Giant,70000000,4900000000000000,23159305,86.0,7.6,1999,Adventure
The Life Aquatic with Steve Zissou,50000000,2500000000000000,34808403,119.0,7.1,2004,Adventure
Free State of Jones,50000000,2500000000000000,25035950,139.0,6.6,2016,War
The Life of David Gale,50000000,2500000000000000,38955598,130.0,7.3,2003,Drama
Run All Night,50000000,2500000000000000,71561644,114.0,6.3,2015,Action
Eastern Promises,51500000,2652250000000000,55112356,100.0,7.2,2007,Thriller
Into the Blue,50000000,2500000000000000,44434439,110.0,5.8,2005,Action
The Messenger: The Story of Joan of Arc,60000000,3600000000000000,66976317,148.0,6.2,1999,Adventure
Your Highness,49900000,2490010000000000,26121638,102.0,5.2,2011,Comedy
Dream House,50000000,2500000000000000,38502340,84.0,5.8,2011,Drama
Mad City,50000000,2500000000000000,10541523,114.0,5.9,1997,Action
Baby's Day Out,50000000,2500000000000000,16671505,99.0,5.8,1994,Action
The Scarlet Letter,50000000,2500000000000000,10382407,135.0,5.5,1995,Drama
Fair Game,22000000,484000000000000,24188922,108.0,6.5,2010,Drama
Domino,50000000,2500000000000000,22944502,127.0,6.0,2005,Action
Jade,50000000,2500000000000000,9851610,95.0,5.2,1995,Action
Gamer,50000000,2500000000000000,40828540,95.0,5.6,2009,Action
Beautiful Creatures,60000000,3600000000000000,60052138,124.0,5.6,2013,Fantasy
Zoolander 2,50000000,2500000000000000,55969000,100.0,4.7,2016,Comedy
The Big Bounce,50000000,2500000000000000,6808550,88.0,5.0,2004,Comedy
Drive Angry,50000000,2500000000000000,28931401,105.0,5.3,2011,Fantasy
Street Fighter: The Legend of Chun-Li,50000000,2500000000000000,12764201,97.0,3.9,2009,Action
The One,49000000,2401000000000000,72700000,87.0,5.7,2001,Action
The Adventures of Ford Fairlane,49000000,2401000000000000,20423389,104.0,6.2,1990,Action
The Boat That Rocked,50000000,2500000000000000,36348784,116.0,7.2,2009,Drama
Traffic,48000000,2304000000000000,207515725,147.0,6.9,2000,Thriller
Indiana Jones and the Last Crusade,48000000,2304000000000000,474171806,127.0,7.6,1989,Adventure
Chappie,49000000,2401000000000000,104399548,120.0,6.6,2015,Crime
The Bone Collector,73000000,5329000000000000,151493655,118.0,6.5,1999,Drama
Panic Room,48000000,2304000000000000,196397415,111.0,6.5,2002,Crime
Three Kings,75000000,5625000000000000,108000000,114.0,6.6,1999,Action
Child 44,50000000,2500000000000000,3324330,137.0,6.1,2015,Crime
Rat Race,48000000,2304000000000000,85498534,112.0,6.0,2001,Adventure
K-PAX,48000000,2304000000000000,50315140,120.0,7.1,2001,Drama
Bedazzled,48000000,2304000000000000,90383208,93.0,5.6,2000,Fantasy
The Cotton Club,58000000,3364000000000000,25928721,127.0,6.6,1984,Music
3:10 to Yuma,55000000,3025000000000000,70016220,122.0,6.9,2007,Western
Taken 3,48000000,2304000000000000,325771424,109.0,6.1,2014,Thriller
Out of Sight,48000000,2304000000000000,77745568,123.0,6.5,1998,Romance
The Cable Guy,47000000,2209000000000000,102825796,96.0,5.7,1996,Comedy
Dick Tracy,47000000,2209000000000000,103738726,103.0,5.9,1990,Adventure
The Thomas Crown Affair,48000000,2304000000000000,124305181,113.0,6.6,1999,Drama
Riding in Cars with Boys,48000000,2304000000000000,35743308,132.0,6.5,2001,Comedy
First Blood,15000000,225000000000000,125212904,93.0,7.2,1982,Action
Happily N'Ever After,47000000,2209000000000000,38085778,75.0,4.6,2006,Animation
Mary Reilly,47000000,2209000000000000,12379402,104.0,5.7,1996,Drama
My Best Friend's Wedding,38000000,1444000000000000,299288605,105.0,6.3,1997,Comedy
Insomnia,46000000,2116000000000000,113714830,118.0,6.8,2002,Crime
Star Trek: First Contact,46000000,2116000000000000,150000000,111.0,7.0,1996,Science Fiction
Jonah Hex,47000000,2209000000000000,10539000,80.0,4.4,2010,Action
Courage Under Fire,46000000,2116000000000000,100860818,117.0,6.2,1996,Drama
Liar Liar,45000000,2025000000000000,181000000,86.0,6.4,1997,Comedy
The Infiltrator,25000000,625000000000000,15436808,127.0,6.6,2016,Crime
Inchon,46000000,2116000000000000,5200000,140.0,6.5,1981,Drama
The Flintstones,46000000,2116000000000000,341631208,91.0,5.0,1994,Fantasy
Taken 2,45000000,2025000000000000,376141306,91.0,6.1,2012,Action
Scary Movie 3,48000000,2304000000000000,220673217,84.0,5.8,2003,Comedy
Miss Congeniality,45000000,2025000000000000,212000000,111.0,6.1,2000,Comedy
Journey to the Center of the Earth,45000000,2025000000000000,101702060,93.0,5.8,2008,Action
The Princess Diaries 2: Royal Engagement,40000000,1600000000000000,95149435,113.0,6.0,2004,Comedy
The Pelican Brief,45000000,2025000000000000,195268056,141.0,6.3,1993,Drama
The Client,45000000,2025000000000000,117615211,119.0,6.4,1994,Drama
The Bucket List,45000000,2025000000000000,175372502,97.0,7.0,2007,Drama
Patriot Games,45000000,2025000000000000,178051587,117.0,6.3,1992,Drama
Monster-in-Law,43000000,1849000000000000,154749918,101.0,5.6,2005,Romance
Prisoners,46000000,2116000000000000,122126687,153.0,7.9,2013,Drama
Training Day,45000000,2025000000000000,104876233,122.0,7.3,2001,Action
Galaxy Quest,45000000,2025000000000000,90683916,102.0,6.9,1999,Comedy
Scary Movie 2,45000000,2025000000000000,141220678,83.0,5.4,2001,Comedy
The Muppets,45000000,2025000000000000,165184237,103.0,6.5,2011,Comedy
Blade,45000000,2025000000000000,131183530,120.0,6.5,1998,Horror
Coach Carter,30000000,900000000000000,76669806,136.0,7.3,2005,Drama
Changing Lanes,45000000,2025000000000000,94935764,89.0,5.9,2002,Action
Anaconda,45000000,2025000000000000,136885767,89.0,4.7,1997,Adventure
Coyote Ugly,45000000,2025000000000000,113916474,100.0,5.8,2000,Comedy
Love Actually,40000000,1600000000000000,244931766,135.0,7.0,2003,Comedy
A Bug's Life,120000000,14400000000000000,363258859,95.0,6.8,1998,Adventure
From Hell,35000000,1225000000000000,74558115,122.0,6.6,2001,Horror
The Specialist,45000000,2025000000000000,170362582,110.0,5.5,1994,Action
Tin Cup,45000000,2025000000000000,53854588,135.0,5.9,1996,Comedy
Kicking & Screaming,45000000,2025000000000000,56070433,95.0,5.6,2005,Romance
The Hitchhiker's Guide to the Galaxy,50000000,2500000000000000,104478416,109.0,6.6,2005,Adventure
